step,omega,grad_hat,grad_se,grad_norm,true_grad_norm,bellman_error,distance_to_target,omega_0,grad_hat_0,grad_se_0,omega_star_0,omega_1,grad_hat_1,grad_se_1,omega_star_1,omega_2,grad_hat_2,grad_se_2,omega_star_2,omega_3,grad_hat_3,grad_se_3,omega_star_3
0,"[0, 0, 0, 0]","[-0.1997015189, 0.07879079301, -0.276850361, -0.2218364291]","[0.004065527294, 0.003960337745, 0.006868130697, 0.01322913932]",0.4146639716907658,0.42141125594112316,0.12117899424250103,0.714142842854285,0.0,-0.19970151893482752,0.004065527293574149,0.55,0.0,0.07879079301058907,0.003960337745056213,-0.35,0.0,-0.27685036103976224,0.006868130696928863,0.25,0.0,-0.22183642911478432,0.013229139324018703,0.15
1,"[0.009985075947, -0.003939539651, 0.01384251805, 0.01109182146]","[-0.1919217961, 0.07998909947, -0.265844626, -0.2090973943]","[0.003930412025, 0.003873339782, 0.006598290447, 0.01266617301]",0.39702306899053097,0.40319439664447115,0.11263142686267091,0.6974523630786865,0.009985075946741376,-0.1919217960544449,0.003930412025004442,0.55,-0.003939539650529454,0.07998909946607666,0.0038733397822158845,-0.35,0.013842518051988113,-0.26584462599035064,0.006598290447310223,0.25,0.011091821455739217,-0.20909739431315896,0.012666173006007824,0.15
2,"[0.01958116575, -0.007938994624, 0.02713474935, 0.02154669117]","[-0.1844934589, 0.08102806764, -0.2553386013, -0.1970318574]","[0.003803235079, 0.003791003587, 0.006343391214, 0.01213192786]",0.38029296374598603,0.3859182012970269,0.10479971912540706,0.6815563392869914,0.01958116574946362,-0.1844934588981779,0.0038032350794928497,0.55,-0.007938994623833287,0.08102806763750753,0.0037910035866344327,-0.35,0.027134749351505644,-0.2553386013000687,0.006343391214012561,0.25,0.021546691171397167,-0.19703185742297677,0.012131927858241746,0.15
3,"[0.02880583869, -0.01199039801, 0.03990167942, 0.03139828404]","[-0.1773995097, 0.08191764459, -0.2453080609, -0.18560517]","[0.003683569051, 0.003713081045, 0.006102692936, 0.01162501765]",0.3644261385152099,0.36953382143716873,0.09761799424255856,0.6664094208213683,0.028805838694372518,-0.17739950971102977,0.0036835690511246655,0.55,-0.011990398005708662,0.08191764458830764,0.003713081044620662,-0.35,0.03990167941650908,-0.24530806094624594,0.006102692936234857,0.25,0.03139828404254601,-0.1856051699907354,0.011625017648926029,0.15
4,"[0.03767581418, -0.01608628024, 0.05216708246, 0.04067854254]","[-0.1706237968, 0.08266723781, -0.2357299857, -0.1747844489]","[0.003571005595, 0.003639336046, 0.005875490108, 0.01114412578]",0.349377420546411,0.3539948206196639,0.09102670063338938,0.6519689317329619,0.03767581417992401,-0.17062379676559739,0.0035710055952798427,0.55,-0.016086280235124043,0.08266723780898952,0.0036393360462998706,-0.35,0.052167082463821374,-0.23572998573694995,0.005875490107730664,0.25,0.04067854254208278,-0.17478444891478534,0.011144125782904836,0.15
5,"[0.04620700402, -0.02021964213, 0.06395358175, 0.04941776499]","[-0.1641509718, 0.08328574323, -0.2265825026, -0.1645384868]","[0.003465154614, 0.003569543996, 0.005661109836, 0.01068800161]",0.33510386549607823,0.3392570538271898,0.08497199403255379,0.6381947375085044,0.04620700401820388,-0.16415097178323174,0.003465154613691188,0.55,-0.02021964212557352,0.08328574323113404,0.003569543996165518,-0.35,0.06395358175066887,-0.22658250255419024,0.005661109835605092,0.25,0.04941776498782205,-0.16453848681616204,0.010688001606543467,0.15
6,"[0.05441455261, -0.02438392929, 0.07528270688, 0.05764468933]","[-0.1579664495, 0.08378157181, -0.2178448267, -0.154837667]","[0.003365643511, 0.003503491345, 0.005458910016, 0.01025545688]",0.3215646475571491,0.3252785534670556,0.07940518036520905,0.6250491157491531,0.05441455260736547,-0.15796644950711583,0.0033656435110463647,0.55,-0.02438392928713022,0.08378157180917734,0.003503491345030221,-0.35,0.07528270687837837,-0.21784482666810814,0.00545891001593625,0.25,0.05764468932863015,-0.1548376669541198,0.010255456884361072,0.15
7,"[0.06231287508, -0.02857300788, 0.08617494821, 0.06538657268]","[-0.1520563693, 0.08416267474, -0.209497207, -0.1456538825]","[0.003272116517, 0.003440975141, 0.005268277625, 0.009845362439]",0.3087209556727619,0.3120194216305391,0.07428221339763301,0.612496630808538,0.062312875082721264,-0.15205636931834252,0.003272116516796379,0.55,-0.02857300787758909,0.08416267474280083,0.0034409751411180745,-0.35,0.08617494821178379,-0.20949720696671456,0.005268277624727937,0.25,0.06538657267633614,-0.14565388245601402,0.009845362439101281,0.15
8,"[0.06991569355, -0.03278114161, 0.09664980856, 0.0726692668]","[-0.1464075588, 0.08443656741, -0.201520874, -0.1369604596]","[0.003184234065, 0.003381802598, 0.005088627123, 0.009456644948]",0.29653589551981385,0.2994417283022477,0.06956324176307212,0.600504012416379,0.06991569354863839,-0.14640755879157125,0.003184234065404818,0.55,-0.03278114161472913,0.08443656740904966,0.0033818025982984617,-0.35,0.09664980856011951,-0.2015208739535777,0.00508862712266198,0.25,0.07266926679913685,-0.1369604596428978,0.009456644947670944,0.15
9,"[0.07723607149, -0.03700296999, 0.1067258523, 0.07951728978]","[-0.1410074991, 0.08461035207, -0.1938979904, -0.1287320852]","[0.003101672228, 0.00332579068, 0.004919398972, 0.009088283886]",0.28497439695431465,0.2875094152157672,0.06521220049551997,0.5890400383259371,0.07723607148821694,-0.14100749909209634,0.0031016722279724133,0.55,-0.037002969985181614,0.08461035206978185,0.0033257906797205866,-0.35,0.1067258522577984,-0.1938979903733515,0.004919398971926182,0.25,0.07951728978128174,-0.1287320852432329,0.009088283886121692,0.15
